0	40	40	30	20	20	10
0	40	20	30	40	20	10
1	40	20	20	40	10	30
0	20	30	30	20	10	20
0	40	40	40	60	30	30
2	10	10	30	40	20	30
0	30	40	30	60	30	30
0	40	30	50	20	30	20
0	40	40	30	40	30	30
1	30	30	40	60	20	30
0	20	30	50	60	10	20
1	20	30	40	60	10	30
0	20	10	50	60	30	10
0	10	10	50	40	30	10
0	10	30	50	20	20	20
0	10	30	20	20	20	20
0	30	10	20	40	10	20
1	10	30	40	60	10	20
0	40	40	50	60	30	20
0	40	10	40	60	20	10
0	20	20	40	20	10	10
0	30	10	30	40	10	10
0	30	40	30	20	10	10
1	40	20	30	60	30	20
0	20	30	20	20	10	10
0	40	40	30	40	10	10
1	20	10	30	60	10	20
1	40	20	50	40	20	30
0	30	30	40	40	20	10
1	20	30	40	60	30	20
0	40	20	20	20	10	20
0	40	10	20	60	30	10
0	30	10	50	20	10	30
0	20	20	50	60	10	10
0	30	30	30	40	30	10
0	40	40	40	20	20	20
0	40	20	20	20	20	30
1	30	10	50	60	10	30
0	20	40	50	60	10	10
0	40	10	50	20	10	10
0	10	30	40	60	20	10
1	20	20	30	60	10	30
0	40	30	40	60	10	10
0	10	20	40	60	20	10
0	40	40	20	40	10	10
0	10	10	30	20	10	10
0	40	30	40	60	20	20
0	40	30	50	20	30	10
0	10	20	20	60	20	10
0	10	40	40	40	10	20
0	40	20	20	60	10	20
0	20	40	20	60	20	20
0	30	40	50	20	30	10
1	30	20	30	60	30	30
0	30	30	40	20	30	20
1	10	10	20	60	20	20
1	30	10	20	60	20	30
0	20	30	50	60	10	10
1	40	10	30	60	30	30
0	40	40	50	60	20	10
0	10	40	20	20	10	10
0	20	40	20	20	30	10
0	40	20	50	20	10	30
0	20	30	30	40	20	10
0	40	30	20	20	30	10
0	40	30	20	20	30	30
3	20	10	50	60	30	30
1	40	20	30	40	30	30
0	10	10	30	60	30	10
1	40	20	20	40	30	30
0	20	40	30	60	30	10
0	40	40	40	40	20	20
0	20	10	20	20	20	10
0	20	10	40	60	20	10
0	40	20	50	20	10	10
1	30	10	30	60	30	20
3	10	20	20	40	30	30
1	30	20	20	40	20	30
0	10	10	30	40	10	10
1	20	40	30	60	30	20
0	20	10	20	20	20	20
0	40	40	30	20	30	30
0	40	10	20	20	20	30
0	40	40	30	60	20	20
0	40	10	40	20	20	10
0	30	10	20	20	10	20
0	30	40	20	40	20	20
2	10	10	50	60	20	20
0	10	10	30	40	30	10
0	40	10	30	20	20	30
1	40	20	30	60	10	30
1	30	30	20	40	20	30
1	20	40	50	40	20	20
0	10	20	30	40	10	10
0	30	20	30	20	30	20
1	20	30	20	60	30	20
0	20	20	40	60	30	10
0	10	10	50	20	10	30
0	10	40	30	60	30	10
0	20	40	30	20	30	30
0	30	30	20	20	30	30
0	40	40	30	60	10	30
1	30	30	50	60	20	20
0	30	10	20	60	10	10
2	10	10	40	40	20	20
1	10	20	40	60	10	20
1	30	30	40	40	30	20
1	10	10	20	40	10	20
0	20	10	30	20	10	20
0	30	40	20	40	30	20
1	30	30	30	40	20	30
0	30	40	50	40	30	20
3	10	30	40	60	20	30
0	20	30	40	60	10	10
0	40	20	50	40	20	10
0	30	40	50	40	10	30
0	30	40	40	20	30	10
0	40	30	20	60	10	30
0	20	40	40	40	30	10
0	40	40	40	20	30	20
0	40	30	20	60	10	10
0	40	20	50	20	30	20
1	20	20	20	40	20	30
0	40	40	20	60	20	30
0	10	10	30	20	10	30
0	40	30	20	40	30	10
0	40	40	30	20	30	10
0	30	40	40	40	10	20
3	10	10	40	60	20	30
0	10	20	30	20	30	10
1	10	40	30	60	30	30
0	20	10	40	20	20	10
0	20	20	30	20	10	10
0	10	10	20	20	30	30
0	10	20	30	20	20	30
0	40	40	50	40	30	20
0	30	30	20	20	10	30
2	20	10	30	60	10	30
2	10	20	50	60	20	20
1	30	20	30	60	30	20
0	30	20	20	40	30	10
0	40	30	40	40	10	20
0	20	30	50	20	20	10
1	40	10	30	60	10	30
1	20	30	40	40	20	20
2	10	10	40	60	30	20
0	40	40	30	60	20	10
0	30	40	30	20	20	10
0	30	10	30	60	30	10
0	40	40	20	40	30	10
0	10	40	20	40	20	20
0	10	30	50	40	20	10
3	10	10	40	40	20	30
0	40	30	20	40	10	20
0	20	30	40	60	30	10
0	20	40	30	60	20	10
0	10	20	20	60	10	10
1	20	30	30	40	20	30
1	40	10	20	40	30	20
0	30	10	30	20	30	30
2	10	20	30	60	10	30
3	20	20	50	40	20	30
0	10	30	30	20	30	10
0	40	20	20	60	10	10
0	10	40	40	20	20	10
1	10	30	30	60	20	20
0	40	20	30	60	30	10
1	10	40	30	60	20	30
0	40	30	20	40	10	10
3	10	30	20	60	30	30
0	10	40	20	40	30	10
1	30	10	20	60	30	30
0	20	10	20	20	30	30
0	30	40	20	60	30	20
0	30	30	20	60	10	20
0	40	40	40	40	10	20
0	40	20	40	40	10	10
0	40	30	40	40	30	30
2	10	10	20	40	30	20
0	40	20	30	40	10	20
1	40	20	20	40	20	30
0	20	40	20	20	10	20
0	40	10	50	20	20	10
0	20	10	30	20	10	10
0	30	20	20	60	30	10
0	10	40	50	20	30	10
0	30	40	30	60	10	10
0	40	20	30	20	10	10
0	30	10	30	60	10	10
3	10	10	20	40	30	30
1	40	20	30	60	20	30
0	40	30	50	40	30	10
0	20	10	30	40	30	10
0	40	30	20	20	10	10
0	30	30	50	40	30	10
1	20	10	50	60	10	20
0	30	10	40	20	10	30
0	20	30	50	20	10	20
0	10	30	40	20	20	20
3	10	30	40	60	30	30
0	30	20	30	40	20	20
1	30	20	20	40	30	30
1	30	20	40	60	30	20
2	10	10	30	40	10	30
0	40	30	40	40	10	10
1	30	10	50	40	30	30
0	30	30	40	20	10	30
2	20	10	30	40	20	30
1	20	40	20	40	30	20
0	10	10	50	20	30	10
0	30	20	30	60	10	10
0	40	40	40	20	10	30
0	20	20	30	20	30	20
0	30	30	20	60	20	20
0	20	40	20	40	10	10
0	30	40	50	20	10	30
1	20	20	50	40	20	20
1	40	20	40	60	20	20
0	40	40	30	60	30	10
0	30	40	30	60	20	30
1	10	30	30	40	10	30
1	10	30	20	40	20	20
1	20	20	20	40	10	30
0	10	20	50	40	10	10
0	30	40	20	60	10	20
0	20	40	20	60	20	10
0	30	30	20	60	30	10
0	30	20	30	60	30	10
